"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae"	"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae"	"Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family_XI"	"Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae"	"Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae"	"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae"	"Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae"	"Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae"	"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae"	"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Hafniaceae"	"Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae"	"Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae"	"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae"	"Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae"	"Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae"	"Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae"	"Bacteria;Firmicutes;Clostridia;Eubacteriales;Eubacteriaceae"	"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinifilaceae"	"Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae"	"Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae"	"Bacteria;Firmicutes;Clostridia;Oscillospirales;Hydrogenoanaerobacterium"	"Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae"	"Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae"	"Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae"	"Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae"	"Bacteria;Firmicutes;Clostridia;Oscillospirales;Ethanoligenenaceae"	"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae"	"Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae"	"Bacteria;Firmicutes;Clostridia;Eubacteriales;Anaerofustaceae"	"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae"	"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae"	"Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae"	"Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae"	"Bacteria;Firmicutes;Clostridia;Oscillospirales;[Clostridium]_methylpentosum_group"	"Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae"	"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae"	"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halomonadaceae"	"Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae"	"Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae"	"Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriales_Incertae_Sedis"	"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae"	"Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae"	"Bacteria;Firmicutes;Bacilli;Thermicanales;Thermicanaceae"	"Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae"	"Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae"	"Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Cryomorphaceae"	"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermacoccaceae"	"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae"	"Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae"	"Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae"	"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pectobacteriaceae"	"Bacteria;Firmicutes;Bacilli;Thermoactinomycetales;Thermoactinomycetaceae"	"Bacteria;Cyanobacteria;Vampirivibrionia;Obscuribacterales;Obscuribacteraceae"	"Bacteria;Proteobacteria;Alphaproteobacteria;Micavibrionales;Micavibrionaceae"	"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Hydrogenophilaceae"	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae"	"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae"	"Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;uncultured"	"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae"	"Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae"	"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae"	"Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae"	"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae"	"Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae"	"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae"	"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae"
"16S-C-B1-L1_e0017-1-C-B1"	26544	37279	13733	19209	6203	12746	6145	0	0	0	3424	1884	3688	0	3905	515	45	30	297	0	232	0	118	0	21	91	0	5	7	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B1-L2_e0017-2-C-B1"	3454	20210	5830	5743	3392	1654	1010	16060	7959	0	4182	489	1252	6	1067	1015	317	0	112	77	0	73	0	106	13	0	0	10	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B1-L3_e0017-3-C-B1"	10429	22148	7055	8830	16919	1688	1762	0	0	0	1423	288	1276	0	1129	884	340	7	124	17	116	0	99	0	25	27	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B10-L0_e0017-0-C-B10"	12650	26049	5921	10070	5584	4256	5320	93	5155	0	3605	792	1630	2524	1693	325	76	6	197	7	9	9	196	154	28	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B10-L1_e0017-1-C-B10"	12651	14755	7646	7047	7266	5226	2606	15	0	3	1450	628	1399	924	2600	574	46	0	15	0	50	0	75	0	63	36	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B10-L2_e0017-2-C-B10"	3620	9954	2420	3930	5344	2537	750	1721	3532	0	2157	232	570	626	387	239	55	4	53	0	0	14	107	0	10	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B10-L3_e0017-3-C-B10"	9185	24970	4933	8964	744	3638	3534	0	188	3594	2015	594	1231	862	6753	1162	59	0	140	0	202	0	269	0	101	104	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B11-L0_e0017-0-C-B11"	27463	52404	20252	22015	7169	14980	11497	406	15332	10	5139	1545	3307	204	7352	1744	302	51	388	266	48	3	358	357	123	79	0	15	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B11-L1_e0017-1-C-B11"	53694	55371	24676	18957	2644	14420	10207	1891	0	0	11491	4668	6613	0	4570	476	26	0	147	0	88	50	501	60	27	115	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B11-L2_e0017-2-C-B11"	10108	37356	9923	13894	6866	8068	3061	2666	16905	0	3093	1100	2329	0	1261	752	231	44	161	129	13	32	210	85	237	30	0	11	7	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B11-L3_e0017-3-C-B11"	42568	47757	15510	17878	5228	6384	7867	15	214	169	11969	1439	4245	0	16240	1798	65	0	136	8	186	10	582	6	80	24	0	8	29	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B12-L0_e0017-0-C-B12"	24324	69215	9397	22297	3459	669	7741	10	9210	0	6791	780	6270	0	3611	2119	67	0	27	86	0	144	0	0	65	0	0	21	8	0	36	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B12-L1_e0017-1-C-B12"	29370	33282	13504	17953	9919	10670	3696	1827	2147	0	2712	1111	2276	6	4710	588	79	0	39	0	114	0	174	0	87	113	0	0	11	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B12-L2_e0017-2-C-B12"	4983	29600	3700	14505	813	3010	3165	0	14306	0	2950	1229	2507	5	1748	2906	37	0	27	41	0	102	0	0	7	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B12-L3_e0017-3-C-B12"	17202	51321	9644	15974	2090	1912	6795	4908	3414	2	4186	847	2392	0	5424	1857	172	0	182	0	300	0	329	0	166	203	0	0	18	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B2-L0_e0017-0-C-B2"	24328	60333	10442	10339	24790	314	1164	11820	1182	8	13900	542	3526	7	3107	1600	24	0	369	117	0	116	0	31	22	0	0	75	0	0	38	0	0	0	21	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B2-L1_e0017-1-C-B2"	31471	38288	19241	17205	17803	14644	7122	15	242	0	4368	1733	3892	0	2602	1134	93	30	301	0	331	7	121	0	42	51	0	4	23	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B2-L2_e0017-2-C-B2"	8004	22934	4565	7429	7111	3784	1579	3455	10831	0	3866	373	1912	8	1981	1409	150	0	125	66	0	195	30	25	16	0	0	17	9	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B2-L3_e0017-3-C-B2"	14652	30078	10127	13206	19374	2631	2953	0	4631	0	1246	514	1769	0	1549	1002	395	14	146	55	92	0	136	0	43	27	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B3-L0_e0017-0-C-B3"	26556	43637	20909	18037	2664	21169	6985	0	2034	0	2316	2124	4511	0	2710	937	4	45	212	26	471	4	94	12	6	64	0	9	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B3-L1_e0017-1-C-B3"	31888	39674	15301	17413	6927	10633	6438	13	350	0	3771	1364	3194	0	3365	833	57	39	241	0	201	0	150	0	84	114	0	0	17	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B3-L2_e0017-2-C-B3"	12308	27125	10036	8796	17327	7192	2029	15	9004	0	5040	749	1861	15	885	865	417	16	79	138	55	23	99	0	40	38	0	13	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B3-L3_e0017-3-C-B3"	26592	44306	11678	18569	19112	5712	7003	0	9700	0	6406	1273	2082	0	2000	1083	140	22	232	0	87	8	196	0	50	159	0	0	15	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B4-L0_e0017-0-C-B4"	52257	53039	25082	21190	9081	26955	10587	0	3845	0	6860	1824	4462	7	7047	2854	101	49	317	131	527	0	317	22	117	129	0	84	33	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B4-L1_e0017-1-C-B4"	31952	49827	21586	22066	10084	20357	15427	39	401	0	3997	2775	6807	0	4448	659	21	26	450	24	305	0	163	0	43	73	0	12	15	0	0	0	22	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B4-L2_e0017-2-C-B4"	8359	22220	8473	6369	19777	5902	1222	0	9347	0	5114	600	2128	12	1082	852	688	7	90	111	29	61	63	0	32	23	0	10	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B4-L3_e0017-3-C-B4"	20065	62376	8837	29650	8397	3817	2287	0	9628	0	2152	1322	2514	8	2611	736	0	26	395	32	130	0	74	0	27	43	0	0	0	0	0	0	38	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B5-L0_e0017-0-C-B5"	31504	41500	9052	18789	12558	13118	6330	0	7512	0	3580	1162	2896	0	2200	1706	49	25	122	168	69	13	185	18	101	206	0	34	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B5-L1_e0017-1-C-B5"	18272	23465	9809	11301	5377	11649	4449	0	3827	0	2359	957	2318	122	1451	461	18	22	143	0	94	6	233	0	57	64	0	5	9	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B5-L2_e0017-2-C-B5"	8361	20828	6419	7165	18484	4461	1784	0	4384	0	3514	461	1111	0	680	272	626	9	80	116	0	48	96	0	46	57	0	7	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B5-L3_e0017-3-C-B5"	17799	27588	10159	15103	3209	5816	3785	0	4230	0	2422	804	1785	329	1612	581	145	8	189	3	71	7	105	0	37	50	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B6-L0_e0017-0-C-B6"	31038	57559	11689	23928	7342	15031	9257	10	7820	0	5854	1317	3031	288	2402	1223	70	43	270	102	36	0	534	22	38	99	0	6	11	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B6-L1_e0017-1-C-B6"	24585	21760	14719	8525	15002	10059	4879	8	30	0	7058	1252	2167	0	2789	1118	136	17	165	0	92	0	154	0	46	47	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B6-L2_e0017-2-C-B6"	6478	19401	5791	6890	15891	4287	1207	33	7024	0	3315	503	1146	35	751	515	244	8	61	31	0	23	249	0	21	15	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B6-L3_e0017-3-C-B6"	31381	36918	10076	15881	9361	7426	7308	0	5236	0	7602	1108	2386	46	3544	1247	121	12	174	4	68	0	125	10	43	49	0	0	11	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B7-L0_e0017-0-C-B7"	25305	41753	11451	14983	11231	11858	5865	0	5445	0	4667	1077	2858	0	2400	1515	150	25	266	99	121	0	664	22	37	62	0	11	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B7-L1_e0017-1-C-B7"	32193	47166	15268	20876	6122	9324	7083	0	10	0	2286	2326	4579	0	4444	514	38	31	246	0	82	0	514	7	27	144	0	0	6	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B7-L2_e0017-2-C-B7"	7318	20515	7101	6196	15365	5131	1187	0	7238	0	4397	537	1519	6	702	316	385	6	95	82	42	23	87	0	21	20	0	3	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B7-L3_e0017-3-C-B7"	26166	33274	10871	16701	9493	4271	7045	0	1658	0	2755	1085	2227	4	3045	1553	156	21	190	0	246	0	160	8	61	64	0	0	19	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B8-L0_e0017-0-C-B8"	28920	46088	11505	20304	13938	9089	8439	28	4579	0	4831	1283	4035	0	3441	828	201	36	93	123	29	13	455	25	75	79	0	4	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B8-L1_e0017-1-C-B8"	31301	37342	17333	16521	17435	11195	6557	844	7718	0	3128	1582	4147	14	2942	886	413	0	329	24	45	18	229	0	70	94	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B8-L2_e0017-2-C-B8"	7123	19395	4227	7220	12152	4480	2189	160	5728	0	2579	392	1258	0	535	373	241	8	47	60	0	14	48	0	30	10	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B8-L3_e0017-3-C-B8"	22485	34760	10933	14636	4783	2949	9300	660	6384	0	2720	1042	2530	0	2755	639	188	0	265	49	126	11	238	9	37	83	0	0	20	0	0	3	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B9-L0_e0017-0-C-B9"	14749	32834	9044	14872	5550	8604	9601	163	7693	0	5679	1037	2054	1659	3061	578	57	31	192	0	59	0	287	251	93	61	0	8	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B9-L1_e0017-1-C-B9"	17390	22707	7923	8380	8459	4854	3100	0	0	0	5349	770	2034	0	1804	526	72	0	107	0	13	0	118	0	29	54	0	0	7	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B9-L2_e0017-2-C-B9"	3922	10602	2710	3706	4240	2907	861	1210	3736	0	2327	322	671	599	421	282	79	4	48	0	0	19	120	38	17	7	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B9-L3_e0017-3-C-B9"	20566	27468	6921	11086	2687	2703	6608	0	101	0	6179	563	1678	0	3031	854	91	4	189	0	13	0	264	6	65	77	0	0	7	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C1-L0_e0017-0-C-C1"	22557	43982	6465	12492	3742	2418	3088	11652	10931	0	5860	1126	2988	3496	3475	508	17	0	826	111	4	66	12	386	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C1-L1_e0017-1-C-C1"	25378	36550	4129	11433	0	7183	894	40129	11103	0	1524	1334	2129	7179	495	0	451	0	1650	142	0	189	13	222	36	21	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C1-L2_e0017-2-C-C1"	2854	16203	6246	5019	2369	2375	561	17057	11413	0	5066	435	1028	352	567	423	372	0	263	68	45	61	32	88	9	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C1-L3_e0017-3-C-C1"	21284	27833	3215	12328	69	2899	1332	25493	6040	41	2222	1253	1601	2683	455	1362	852	0	959	74	0	2	21	81	42	17	0	6	6	0	0	8	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C10-L0_e0017-0-C-C10"	4854	7457	552	2325	30	419	669	1144	1517	0	535	193	538	322	90	0	0	0	273	16	0	31	0	66	20	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C10-L1_e0017-1-C-C10"	4445	4413	357	1720	0	285	373	1131	923	0	259	159	321	282	196	0	17	0	166	8	0	17	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C10-L2_e0017-2-C-C10"	2044	2537	153	1107	79	178	362	24	824	0	156	64	152	18	108	140	4	0	41	11	0	17	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C10-L3_e0017-3-C-C10"	4007	5500	312	2382	41	229	216	676	1092	0	292	207	410	391	442	0	34	0	218	27	0	10	0	49	0	9	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C11-L0_e0017-0-C-C11"	43983	51118	3809	17367	65	7671	7427	12022	14210	0	3903	1989	3957	4133	1079	0	0	0	2094	342	0	231	12	382	122	49	0	12	14	0	0	17	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C11-L1_e0017-1-C-C11"	39311	42168	2916	14792	0	3193	4442	8105	8233	0	2105	1862	3004	2203	1838	0	287	0	1422	130	0	144	14	573	78	102	0	0	12	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C11-L2_e0017-2-C-C11"	22164	24582	1684	8069	297	1968	2096	444	5458	19	2280	873	1337	667	377	0	11	16	890	112	0	178	6	115	60	29	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C11-L3_e0017-3-C-C11"	40955	41716	1515	13847	226	1040	2991	0	8389	0	1672	1749	2081	962	3495	2514	67	0	1164	119	0	55	16	122	39	20	0	0	10	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
"16S-C-C12-L0_e0017-0-C-C12"	11632	65081	7440	25200	97	4970	16352	368	25903	0	6969	1671	5742	1598	2166	3120	26	38	1063	177	0	228	59	304	131	62	0	4	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C12-L1_e0017-1-C-C12"	50604	41274	3318	15993	0	3219	2832	12091	7917	0	1812	1998	3309	2542	1487	0	79	0	1185	130	0	140	12	563	59	0	0	0	16	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C12-L2_e0017-2-C-C12"	12813	24996	4174	10204	504	3005	3020	607	8341	0	4689	1086	1994	0	1507	585	42	35	272	80	0	80	67	45	12	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C12-L3_e0017-3-C-C12"	42847	47699	2810	17330	191	2922	7305	0	8750	37	1957	1711	3377	892	4074	0	336	0	1424	0	0	24	14	197	88	0	0	0	14	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C2-L0_e0017-0-C-C2"	29660	45959	19344	15288	6075	9802	3060	0	1346	0	3922	1043	3511	0	3268	745	386	23	303	80	156	2	418	22	111	86	0	22	12	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C2-L1_e0017-1-C-C2"	29449	45656	5758	13607	31	11411	1237	32365	10613	0	3066	2334	3028	9256	390	0	1125	0	2214	153	0	347	14	416	79	39	0	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C2-L2_e0017-2-C-C2"	14929	29935	10422	7236	14117	3770	2269	35	8872	0	6849	745	1351	0	972	1052	173	7	142	116	58	58	108	0	82	19	0	13	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
